Game_Name,Game_Price,Game_Genre,Game_URL
PICOHOT,N/A,Shooter,https://tarkovsky.itch.io/picohot
POOM,N/A,Shooter,https://freds72.itch.io/poom
UFO Swamp Odyssey,N/A,Platformer,https://paranoidcactus.itch.io/ufo
Villager,N/A,Strategy,https://partnano.itch.io/villager
Pico World Race,N/A,Racing,https://pak-9.itch.io/pico-world-race
CELESTE Classic,N/A,Platformer,https://mattmakesgames.itch.io/celesteclassic
Dank Tomb,N/A,Adventure,https://krajzeg.itch.io/dank-tomb
Mai-Chan's Sweet Buns,N/A,Puzzle,https://krystman.itch.io/sweet-buns
Combo Pool,N/A,Puzzle,https://nusan.itch.io/combo-pool
pico sonic,N/A,Platformer,https://komehara.itch.io/pico-sonic
GET OUT of this Dungeon,N/A,Platformer,https://insanus.itch.io/get-out
Mimic,N/A,Puzzle,https://sourencho.itch.io/mimic
Into Ruins,N/A,Role Playing,https://sparsegamedev.itch.io/into-ruins
Terra - A Terraria Demake,N/A,Action,https://cubeegames.itch.io/terra-a-terraria-demake
The Lair,N/A,Action,https://krajzeg.itch.io/the-lair
P.Craft,N/A,Adventure,https://nusan.itch.io/pcraft
High Stakes,N/A,Card Game,https://krystman.itch.io/high-stakes
snow!,N/A,Sports,https://freds72.itch.io/snow
Sneaky Stealy,N/A,N/A,https://ironchestgames.itch.io/sneaky-stealy
X-Zero,N/A,Platformer,https://paranoidcactus.itch.io/x-zero
Slipways Classic,N/A,Strategy,https://krajzeg.itch.io/slipways
Sequence8,N/A,Rhythm,https://billiam.itch.io/sequence8
the tower,N/A,Adventure,https://tallywinkle.itch.io/the-tower
Touhou ~ Unmei no Hoshi ~ / 東方運命の星,N/A,N/A,https://chrono-dave.itch.io/unh
UnDUNE II,N/A,Strategy,https://liquidream.itch.io/undune2
Coffee maker,N/A,Rhythm,https://shinpansen.itch.io/coffee-maker
Porklike,N/A,Strategy,https://krystman.itch.io/porklike
SUPER CRANE,$5,Puzzle,https://calixjumio.itch.io/super-crane
Virtua Racing Demake,N/A,Racing,https://freds72.itch.io/virtua-racing
