Game_Name,Game_Author,Game_Price,Game_Genre,Game_Rating,Game_URL
POOM,freds72,N/A,Shooter,4.77 average rating from 682 total ratings,https://freds72.itch.io/poom
Celeste Classic 2,Maddy Makes Games,N/A,Platformer,4.77 average rating from 469 total ratings,https://mattmakesgames.itch.io/celeste-classic-2
CELESTE Classic,Maddy Makes Games,N/A,Platformer,4.68 average rating from 730 total ratings,https://mattmakesgames.itch.io/celesteclassic
Just One Boss,ayla~nonsense,N/A,Action,4.75 average rating from 443 total ratings,https://aylanonsense.itch.io/just-one-boss
PICOHOT,tarkovsky,N/A,Shooter,4.70 average rating from 382 total ratings,https://tarkovsky.itch.io/picohot
Mai-Chan's Sweet Buns,Krystman,N/A,Puzzle,4.65 average rating from 378 total ratings,https://krystman.itch.io/sweet-buns
To a Starling,Peteksi,N/A,Platformer,4.73 average rating from 248 total ratings,https://peteksi.itch.io/to-a-starling
UFO Swamp Odyssey,Paranoid Cactus,N/A,Platformer,4.65 average rating from 380 total ratings,https://paranoidcactus.itch.io/ufo
High Stakes,Krystman,N/A,Card Game,4.72 average rating from 259 total ratings,https://krystman.itch.io/high-stakes
Combo Pool,NuSan,N/A,Puzzle,4.66 average rating from 330 total ratings,https://nusan.itch.io/combo-pool
Slipways Classic,Jakub Wasilewski,N/A,Strategy,4.63 average rating from 322 total ratings,https://krajzeg.itch.io/slipways
Mimic,sourencho,N/A,Puzzle,4.70 average rating from 202 total ratings,https://sourencho.itch.io/mimic
Kitsu,Fáyer🔥,N/A,Puzzle,4.75 average rating from 150 total ratings,https://fayer.itch.io/kitsu
Ascent,Johan Peitz,N/A,Platformer,4.74 average rating from 140 total ratings,https://johanpeitz.itch.io/ascent
Sequence8,billiam,N/A,Rhythm,4.83 average rating from 89 total ratings,https://billiam.itch.io/sequence8
Dank Tomb,Jakub Wasilewski,N/A,Adventure,4.63 average rating from 227 total ratings,https://krajzeg.itch.io/dank-tomb
Ghost House,kittenm4ster,N/A,Adventure,4.75 average rating from 121 total ratings,https://kittenm4ster.itch.io/ghost-house
Pico Night Punkin',Carson K.,N/A,Rhythm,4.74 average rating from 121 total ratings,https://carsonk.itch.io/pico-night-punkin
Curious Fishing,RhythmLynx,N/A,Puzzle,4.87 average rating from 56 total ratings,https://rhythmlynx.itch.io/curious-fishing
Pico Driller,Canari Games,N/A,Puzzle,4.58 average rating from 217 total ratings,https://canarigames.itch.io/picodriller
Dusk Child,Sophie Houlden,N/A,Adventure,4.50 average rating from 297 total ratings,https://sophieh.itch.io/dusk-child
UnDUNE II,Paul Nicholas (Liquidream),N/A,Strategy,4.85 average rating from 53 total ratings,https://liquidream.itch.io/undune2
Golf Sunday,Johan Peitz,N/A,Sports,4.87 average rating from 47 total ratings,https://johanpeitz.itch.io/golf-sunday
Artemis' Minesweeper v1.2,Numa,N/A,Puzzle,4.68 average rating from 111 total ratings,https://numachitamanegi.itch.io/artemis-minesweeper
Pigments,Benjamin Soulé,N/A,N/A,4.73 average rating from 82 total ratings,https://benjamin-soul.itch.io/pigments
Allocation,Mush,N/A,Action,4.60 average rating from 150 total ratings,https://mush101.itch.io/allocation
