Game_Name,Game_Price,Game_Genre,Game_URL
PICOHOT,N/A,Shooter,https://tarkovsky.itch.io/picohot
UFO Swamp Odyssey,N/A,Platformer,https://paranoidcactus.itch.io/ufo
Villager,N/A,Strategy,https://partnano.itch.io/villager
CELESTE Classic,N/A,Platformer,https://mattmakesgames.itch.io/celesteclassic
Pico World Race,N/A,Racing,https://pak-9.itch.io/pico-world-race
POOM,N/A,Shooter,https://freds72.itch.io/poom
Combo Pool,N/A,Puzzle,https://nusan.itch.io/combo-pool
Mai-Chan's Sweet Buns,N/A,Puzzle,https://krystman.itch.io/sweet-buns
Dank Tomb,N/A,Adventure,https://krajzeg.itch.io/dank-tomb
pico sonic,N/A,Platformer,https://komehara.itch.io/pico-sonic
GET OUT of this Dungeon,N/A,Platformer,https://insanus.itch.io/get-out
Mimic,N/A,Puzzle,https://sourencho.itch.io/mimic
The Lair,N/A,Action,https://krajzeg.itch.io/the-lair
snow!,N/A,Sports,https://freds72.itch.io/snow
P.Craft,N/A,Adventure,https://nusan.itch.io/pcraft
Into Ruins,N/A,Role Playing,https://sparsegamedev.itch.io/into-ruins
X-Zero,N/A,Platformer,https://paranoidcactus.itch.io/x-zero
Terra - A Terraria Demake,N/A,Action,https://cubeegames.itch.io/terra-a-terraria-demake
High Stakes,N/A,Card Game,https://krystman.itch.io/high-stakes
Sequence8,N/A,Rhythm,https://billiam.itch.io/sequence8
MOTION⚫︎REC,N/A,Platformer,https://donutshunter.itch.io/motionrec
Sneaky Stealy,N/A,N/A,https://ironchestgames.itch.io/sneaky-stealy
Slipways Classic,N/A,Strategy,https://krajzeg.itch.io/slipways
Coffee maker,N/A,Rhythm,https://shinpansen.itch.io/coffee-maker
Touhou ~ Unmei no Hoshi ~ / 東方運命の星,N/A,N/A,https://chrono-dave.itch.io/unh
the tower,N/A,Adventure,https://tallywinkle.itch.io/the-tower
UnDUNE II,N/A,Strategy,https://liquidream.itch.io/undune2
Porklike,N/A,Strategy,https://krystman.itch.io/porklike
Low Mem Sky,N/A,Action,https://liquidream.itch.io/low-mem-sky-jam-version
Curse of the Lich King,N/A,Adventure,https://johanpeitz.itch.io/curse-of-the-lich-king
